"city","country","pop2024","latitude","longitude"
"Woodstock","Canada",33892,43.1334,-80.7497
"Campbell River","Canada",33430,50.0163,-125.245
"Ancaster","Canada",33232,43.2181,-79.9872
"Courtenay","Canada",32793,49.6866,-124.994
"Orangeville","Canada",32640,43.9168,-80.0997
"North Cowichan","Canada",32272,48.8413,-123.686
"Moose Jaw","Canada",32166,50.4001,-105.534
"Midland","Canada",31502,44.7501,-79.883
"Cote-Saint-Luc","Canada",31395,45.4654,-73.6658
"Saint-Georges","Canada",31173,46.1135,-70.6653
"Val-d'Or","Canada",31123,48.0974,-77.7974
"Stratford","Canada",30233,43.3668,-80.9497
"Orillia","Canada",30178,44.6087,-79.4207
"Pointe-Claire","Canada",30161,45.4487,-73.8167
"Baie-Comeau","Canada",29808,49.2168,-68.1489
"Alma","Canada",29526,48.5501,-71.6491
"Sainte-Julie","Canada",29019,45.5834,-73.3325
"West Kelowna","Canada",28793,49.8625,-119.583
"Port Moody","Canada",27512,49.283,-122.853
"Lloydminster","Canada",27000,53.2724,-110.023
"Boisbriand","Canada",26483,45.6168,-73.8325
"Brandon","Canada",26234,49.8469,-99.9531
"Vaudreuil-Dorion","Canada",25789,45.4001,-74.0325
"Thetford-Mines","Canada",25704,46.0937,-71.3054
"Walnut Grove","Canada",25683,49.1647,-122.64
"Prince Edward","Canada",25496,44.0001,-77.2495
"Sainte-Therese","Canada",25224,45.6392,-73.8276
"Airdrie","Canada",24673,51.3001,-114.035
"Mount Pearl","Canada",24671,47.5166,-52.7813
"Saint-Bruno-de-Montarville","Canada",24388,45.5334,-73.3492
"Rouyn-Noranda","Canada",24023,48.2366,-79.0231
"Saint-Constant","Canada",23957,45.3668,-73.5659
"Brockville","Canada",23886,44.5913,-75.687
"Langley","Canada",23606,49.1011,-122.659
"Whitehorse","Canada",23272,60.7161,-135.054
"Owen Sound","Canada",22625,44.5672,-80.9435
"Chambly","Canada",22608,45.4501,-73.2825
"Sept-Iles","Canada",22582,50.2001,-66.3821
"Langford","Canada",22459,48.4496,-123.503
"Duncan","Canada",22199,48.7829,-123.703
"La Prairie","Canada",21763,45.4168,-73.4992
"Lower Sackville","Canada",21379,44.776,-63.6786
"Port Alberni","Canada",21282,49.2413,-124.803
"Keswick","Canada",21000,44.2501,-79.4663
"Varennes","Canada",20950,45.6834,-73.4325
"Clarence-Rockland","Canada",20790,45.5501,-75.291
"Truro","Canada",20650,45.3669,-63.2654
"Westmount","Canada",20494,45.4834,-73.5992
"Kirkland","Canada",20491,45.4501,-73.8659
"Lindsay","Canada",20354,44.3501,-78.7329
"New Glasgow","Canada",20322,45.5834,-62.6486
"Cole Harbour","Canada",20000,44.6724,-63.4751
"Glace Bay","Canada",19968,46.1969,-59.957
"Huntsville","Canada",19579,45.3334,-79.2163
"Terrace","Canada",19443,54.5163,-128.603
"North Battleford","Canada",19440,52.7797,-108.297
"Beaconsfield","Canada",19194,45.4334,-73.8659
"Mont-Royal","Canada",18933,45.5168,-73.6492
"Beloeil","Canada",18927,45.5684,-73.2057
"Corner Brook","Canada",18693,48.95,-57.952
"Cranbrook","Canada",18610,49.4999,-115.769
"Port Colborne","Canada",18599,42.9001,-79.2329
"Riviere-du-Loup","Canada",18586,47.827,-69.5424
"Dieppe","Canada",18565,46.0784,-64.6873
"Thorold","Canada",18224,43.1168,-79.1996
"Miramichi","Canada",18129,47.0289,-65.5019
"Cobourg","Canada",18099,43.9598,-78.1652
"Dorval","Canada",18088,45.4473,-73.7533
"Oak Bay","Canada",18015,48.4496,-123.303
"Amos","Canada",17918,48.5669,-78.1162
"Spruce Grove","Canada",17767,53.5334,-113.919
"Pitt Meadows","Canada",17410,49.2212,-122.69
"Deux-Montagnes","Canada",17402,45.5345,-73.9017
